フォルダ名,パス,読み込み結果,確認できたファイル形式,_delta_log有無,パーティション有無,直下構造,カラム数,レコード件数,想定概要,カラムNo,カラム名,データ型,NULL許容,確認できる意味・役割,サンプル値,備考
ods_coupondb_coupon_cond_product_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_coupondb_coupon_cond_product_aspb/,成功,Parquet,なし,なし,単一partファイル構成,14,731047,クーポンテンプレートごとに、対象商品条件を管理しているデータと想定されます。coupon_template_id に対して item_code、product_id、sku_id、store_code、region_code が紐づいており、商品・SKU・店舗または地域単位でクーポン適用対象商品を定義するためのデータと考えられます。,1,id,long,true,レコードID候補,5435,
ods_coupondb_coupon_cond_product_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_coupondb_coupon_cond_product_aspb/,成功,Parquet,なし,なし,単一partファイル構成,14,731047,クーポンテンプレートごとに、対象商品条件を管理しているデータと想定されます。coupon_template_id に対して item_code、product_id、sku_id、store_code、region_code が紐づいており、商品・SKU・店舗または地域単位でクーポン適用対象商品を定義するためのデータと考えられます。,2,coupon_template_id,integer,true,クーポンテンプレートID候補,1467,主要JOINキー候補
ods_coupondb_coupon_cond_product_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_coupondb_coupon_cond_product_aspb/,成功,Parquet,なし,なし,単一partファイル構成,14,731047,クーポンテンプレートごとに、対象商品条件を管理しているデータと想定されます。coupon_template_id に対して item_code、product_id、sku_id、store_code、region_code が紐づいており、商品・SKU・店舗または地域単位でクーポン適用対象商品を定義するためのデータと考えられます。,3,item_code,string,true,商品コード・JANコード候補,4589935443473,13桁コードが確認されるが、正式にJANとして扱うには商品マスタとの突合確認が必要
ods_coupondb_coupon_cond_product_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_coupondb_coupon_cond_product_aspb/,成功,Parquet,なし,なし,単一partファイル構成,14,731047,クーポンテンプレートごとに、対象商品条件を管理しているデータと想定されます。coupon_template_id に対して item_code、product_id、sku_id、store_code、region_code が紐づいており、商品・SKU・店舗または地域単位でクーポン適用対象商品を定義するためのデータと考えられます。,4,product_id,long,true,商品ID候補,153491555,
ods_coupondb_coupon_cond_product_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_coupondb_coupon_cond_product_aspb/,成功,Parquet,なし,なし,単一partファイル構成,14,731047,クーポンテンプレートごとに、対象商品条件を管理しているデータと想定されます。coupon_template_id に対して item_code、product_id、sku_id、store_code、region_code が紐づいており、商品・SKU・店舗または地域単位でクーポン適用対象商品を定義するためのデータと考えられます。,5,sku_id,long,true,SKU ID候補,46452357,
ods_coupondb_coupon_cond_product_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_coupondb_coupon_cond_product_aspb/,成功,Parquet,なし,なし,単一partファイル構成,14,731047,クーポンテンプレートごとに、対象商品条件を管理しているデータと想定されます。coupon_template_id に対して item_code、product_id、sku_id、store_code、region_code が紐づいており、商品・SKU・店舗または地域単位でクーポン適用対象商品を定義するためのデータと考えられます。,6,store_code,string,true,店舗コード候補,null,サンプルではNULLあり
ods_coupondb_coupon_cond_product_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_coupondb_coupon_cond_product_aspb/,成功,Parquet,なし,なし,単一partファイル構成,14,731047,クーポンテンプレートごとに、対象商品条件を管理しているデータと想定されます。coupon_template_id に対して item_code、product_id、sku_id、store_code、region_code が紐づいており、商品・SKU・店舗または地域単位でクーポン適用対象商品を定義するためのデータと考えられます。,7,region_code,string,true,地域・会社・適用範囲コード候補,0105,
ods_coupondb_coupon_cond_product_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_coupondb_coupon_cond_product_aspb/,成功,Parquet,なし,なし,単一partファイル構成,14,731047,クーポンテンプレートごとに、対象商品条件を管理しているデータと想定されます。coupon_template_id に対して item_code、product_id、sku_id、store_code、region_code が紐づいており、商品・SKU・店舗または地域単位でクーポン適用対象商品を定義するためのデータと考えられます。,8,deleted,byte,true,論理削除フラグ候補,0,有効データ確認時は deleted=0 の扱い確認が必要
ods_coupondb_coupon_cond_product_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_coupondb_coupon_cond_product_aspb/,成功,Parquet,なし,なし,単一partファイル構成,14,731047,クーポンテンプレートごとに、対象商品条件を管理しているデータと想定されます。coupon_template_id に対して item_code、product_id、sku_id、store_code、region_code が紐づいており、商品・SKU・店舗または地域単位でクーポン適用対象商品を定義するためのデータと考えられます。,9,created_by,string,true,作成者,root,
ods_coupondb_coupon_cond_product_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_coupondb_coupon_cond_product_aspb/,成功,Parquet,なし,なし,単一partファイル構成,14,731047,クーポンテンプレートごとに、対象商品条件を管理しているデータと想定されます。coupon_template_id に対して item_code、product_id、sku_id、store_code、region_code が紐づいており、商品・SKU・店舗または地域単位でクーポン適用対象商品を定義するためのデータと考えられます。,10,updated_by,string,true,更新者,root,
