フォルダ名,パス,読み込み結果,確認できたファイル形式,_delta_log有無,パーティション有無,直下構造,カラム数,レコード件数,想定概要,カラムNo,カラム名,データ型,NULL許容,確認できる意味・役割,サンプル値,備考
ods_coupondb_coupon_cond_region_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_coupondb_coupon_cond_region_aspb/,成功,Parquet,なし,なし,単一partファイル構成,11,86,クーポンテンプレートごとに、適用対象となる地域・会社・アカウント種別条件を管理しているデータと想定されます。region_code、condition_type、account_type を持っており、クーポンの対象範囲または条件区分を制御するためのデータと考えられます。,1,id,integer,true,レコードID候補,5,
ods_coupondb_coupon_cond_region_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_coupondb_coupon_cond_region_aspb/,成功,Parquet,なし,なし,単一partファイル構成,11,86,クーポンテンプレートごとに、適用対象となる地域・会社・アカウント種別条件を管理しているデータと想定されます。region_code、condition_type、account_type を持っており、クーポンの対象範囲または条件区分を制御するためのデータと考えられます。,2,coupon_template_id,integer,true,クーポンテンプレートID候補,121954,主要JOINキー候補
ods_coupondb_coupon_cond_region_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_coupondb_coupon_cond_region_aspb/,成功,Parquet,なし,なし,単一partファイル構成,11,86,クーポンテンプレートごとに、適用対象となる地域・会社・アカウント種別条件を管理しているデータと想定されます。region_code、condition_type、account_type を持っており、クーポンの対象範囲または条件区分を制御するためのデータと考えられます。,3,region_code,string,true,地域・会社・適用範囲コード候補,8200,
ods_coupondb_coupon_cond_region_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_coupondb_coupon_cond_region_aspb/,成功,Parquet,なし,なし,単一partファイル構成,11,86,クーポンテンプレートごとに、適用対象となる地域・会社・アカウント種別条件を管理しているデータと想定されます。region_code、condition_type、account_type を持っており、クーポンの対象範囲または条件区分を制御するためのデータと考えられます。,4,condition_type,integer,true,条件種別候補,1,1 や -1 が確認されるが意味は未確定
ods_coupondb_coupon_cond_region_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_coupondb_coupon_cond_region_aspb/,成功,Parquet,なし,なし,単一partファイル構成,11,86,クーポンテンプレートごとに、適用対象となる地域・会社・アカウント種別条件を管理しているデータと想定されます。region_code、condition_type、account_type を持っており、クーポンの対象範囲または条件区分を制御するためのデータと考えられます。,5,account_type,string,true,アカウント種別候補,0000001,
ods_coupondb_coupon_cond_region_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_coupondb_coupon_cond_region_aspb/,成功,Parquet,なし,なし,単一partファイル構成,11,86,クーポンテンプレートごとに、適用対象となる地域・会社・アカウント種別条件を管理しているデータと想定されます。region_code、condition_type、account_type を持っており、クーポンの対象範囲または条件区分を制御するためのデータと考えられます。,6,deleted,integer,true,論理削除フラグ候補,0,他の条件系テーブルではbyte型が多いが、このテーブルではinteger型
ods_coupondb_coupon_cond_region_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_coupondb_coupon_cond_region_aspb/,成功,Parquet,なし,なし,単一partファイル構成,11,86,クーポンテンプレートごとに、適用対象となる地域・会社・アカウント種別条件を管理しているデータと想定されます。region_code、condition_type、account_type を持っており、クーポンの対象範囲または条件区分を制御するためのデータと考えられます。,7,created_by,string,true,作成者,AGEST001,
ods_coupondb_coupon_cond_region_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_coupondb_coupon_cond_region_aspb/,成功,Parquet,なし,なし,単一partファイル構成,11,86,クーポンテンプレートごとに、適用対象となる地域・会社・アカウント種別条件を管理しているデータと想定されます。region_code、condition_type、account_type を持っており、クーポンの対象範囲または条件区分を制御するためのデータと考えられます。,8,updated_by,string,true,更新者,AGEST001,
ods_coupondb_coupon_cond_region_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_coupondb_coupon_cond_region_aspb/,成功,Parquet,なし,なし,単一partファイル構成,11,86,クーポンテンプレートごとに、適用対象となる地域・会社・アカウント種別条件を管理しているデータと想定されます。region_code、condition_type、account_type を持っており、クーポンの対象範囲または条件区分を制御するためのデータと考えられます。,9,created_at,timestamp,true,作成日時,2025-06-18T19:17:57.000+00:00,
ods_coupondb_coupon_cond_region_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_coupondb_coupon_cond_region_aspb/,成功,Parquet,なし,なし,単一partファイル構成,11,86,クーポンテンプレートごとに、適用対象となる地域・会社・アカウント種別条件を管理しているデータと想定されます。region_code、condition_type、account_type を持っており、クーポンの対象範囲または条件区分を制御するためのデータと考えられます。,10,updated_at,timestamp,true,更新日時,2025-06-18T19:17:57.000+00:00,
ods_coupondb_coupon_cond_region_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_coupondb_coupon_cond_region_aspb/,成功,Parquet,なし,なし,単一partファイル構成,11,86,クーポンテンプレートごとに、適用対象となる地域・会社・アカウント種別条件を管理しているデータと想定されます。region_code、condition_type、account_type を持っており、クーポンの対象範囲または条件区分を制御するためのデータと考えられます。,11,dw_updated_time,timestamp,true,DWH側更新日時候補,2025-12-22T15:20:17.207+00:00,dw_created_time は存在しない
