テーブル名,パス,対象pt_date_key,読み込み結果,確認できたファイル形式,パーティション,元カラム数,pt_date_key付与後カラム数,代表パーティション件数,想定概要,サンプル参照行,カラムNo,カラム名,データ型,NULL許容,確認できる意味・役割,サンプル値,備考
ods_store_coupon_give_record_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_store_coupon_give_record_aspb/pt_date_key=20231218/,20231218,成功,Parquet,pt_date_key=20231218,47,48,4833825,クーポンテンプレートID、クーポン番号、会員ID、発行店舗、利用店舗、利用状態、表示期間などを保持する、クーポン付与・配信・利用状態の履歴データと想定されます。,sample_row=1,1,id,bigint,true,レコードID候補,6214006672,
ods_store_coupon_give_record_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_store_coupon_give_record_aspb/pt_date_key=20231218/,20231218,成功,Parquet,pt_date_key=20231218,47,48,4833825,クーポンテンプレートID、クーポン番号、会員ID、発行店舗、利用店舗、利用状態、表示期間などを保持する、クーポン付与・配信・利用状態の履歴データと想定されます。,sample_row=1,2,coupon_template_id,bigint,true,クーポンテンプレートID候補,33689,条件系テーブルとのJOINキー候補。条件系ではinteger/longが混在するため型合わせが必要。
ods_store_coupon_give_record_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_store_coupon_give_record_aspb/pt_date_key=20231218/,20231218,成功,Parquet,pt_date_key=20231218,47,48,4833825,クーポンテンプレートID、クーポン番号、会員ID、発行店舗、利用店舗、利用状態、表示期間などを保持する、クーポン付与・配信・利用状態の履歴データと想定されます。,sample_row=1,3,coupon_no,string,true,個別クーポン番号候補,64738033363448442388404097,
ods_store_coupon_give_record_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_store_coupon_give_record_aspb/pt_date_key=20231218/,20231218,成功,Parquet,pt_date_key=20231218,47,48,4833825,クーポンテンプレートID、クーポン番号、会員ID、発行店舗、利用店舗、利用状態、表示期間などを保持する、クーポン付与・配信・利用状態の履歴データと想定されます。,sample_row=1,4,member_id,bigint,true,会員ID候補,4300024288404097,
ods_store_coupon_give_record_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_store_coupon_give_record_aspb/pt_date_key=20231218/,20231218,成功,Parquet,pt_date_key=20231218,47,48,4833825,クーポンテンプレートID、クーポン番号、会員ID、発行店舗、利用店舗、利用状態、表示期間などを保持する、クーポン付与・配信・利用状態の履歴データと想定されます。,sample_row=1,5,member_phone,string,true,会員電話番号候補,,サンプルでは空文字。
ods_store_coupon_give_record_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_store_coupon_give_record_aspb/pt_date_key=20231218/,20231218,成功,Parquet,pt_date_key=20231218,47,48,4833825,クーポンテンプレートID、クーポン番号、会員ID、発行店舗、利用店舗、利用状態、表示期間などを保持する、クーポン付与・配信・利用状態の履歴データと想定されます。,sample_row=1,6,issue_store_code,string,true,クーポン発行店舗コード候補,3618,
ods_store_coupon_give_record_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_store_coupon_give_record_aspb/pt_date_key=20231218/,20231218,成功,Parquet,pt_date_key=20231218,47,48,4833825,クーポンテンプレートID、クーポン番号、会員ID、発行店舗、利用店舗、利用状態、表示期間などを保持する、クーポン付与・配信・利用状態の履歴データと想定されます。,sample_row=1,7,business_no,string,true,業務番号候補,105149,
ods_store_coupon_give_record_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_store_coupon_give_record_aspb/pt_date_key=20231218/,20231218,成功,Parquet,pt_date_key=20231218,47,48,4833825,クーポンテンプレートID、クーポン番号、会員ID、発行店舗、利用店舗、利用状態、表示期間などを保持する、クーポン付与・配信・利用状態の履歴データと想定されます。,sample_row=1,8,business_type,string,true,業務種別候補,131072,
ods_store_coupon_give_record_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_store_coupon_give_record_aspb/pt_date_key=20231218/,20231218,成功,Parquet,pt_date_key=20231218,47,48,4833825,クーポンテンプレートID、クーポン番号、会員ID、発行店舗、利用店舗、利用状態、表示期間などを保持する、クーポン付与・配信・利用状態の履歴データと想定されます。,sample_row=1,9,business_sub_type,int,true,業務サブ種別候補,null,
ods_store_coupon_give_record_aspb,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_store_coupon_give_record_aspb/pt_date_key=20231218/,20231218,成功,Parquet,pt_date_key=20231218,47,48,4833825,クーポンテンプレートID、クーポン番号、会員ID、発行店舗、利用店舗、利用状態、表示期間などを保持する、クーポン付与・配信・利用状態の履歴データと想定されます。,sample_row=1,10,issue_order_no,string,true,発行注文番号候補,131072_105149TUPLE2023121800022132856_4300024288404097,
