テーブル名,パス,対象pt_date_key,読み込み結果,確認できたファイル形式,パーティション,元カラム数,pt_date_key付与後カラム数,代表パーティション件数,想定概要,サンプル参照行,カラムNo,カラム名,データ型,NULL許容,確認できる意味・役割,サンプル値,備考
ods_tbl_receipt_customer_detail,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_tbl_receipt_customer_detail/pt_date_key=20231028/,20231028,成功,Parquet,pt_date_key=20231028,82,83,943255,レシートに紐づく支払、顧客、会員、バーコード、クーポン利用情報を保持する顧客・支払明細系データと想定されます。商品コードや売上金額の商品明細項目は持たず、receipt_item_detailとは役割が分かれます。,sample_row=5,1,sousin_ymd,string,true,送信年月日候補,2023-10-28 01:00:00,
ods_tbl_receipt_customer_detail,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_tbl_receipt_customer_detail/pt_date_key=20231028/,20231028,成功,Parquet,pt_date_key=20231028,82,83,943255,レシートに紐づく支払、顧客、会員、バーコード、クーポン利用情報を保持する顧客・支払明細系データと想定されます。商品コードや売上金額の商品明細項目は持たず、receipt_item_detailとは役割が分かれます。,sample_row=5,2,sousin_no,string,true,送信番号候補,0,
ods_tbl_receipt_customer_detail,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_tbl_receipt_customer_detail/pt_date_key=20231028/,20231028,成功,Parquet,pt_date_key=20231028,82,83,943255,レシートに紐づく支払、顧客、会員、バーコード、クーポン利用情報を保持する顧客・支払明細系データと想定されます。商品コードや売上金額の商品明細項目は持たず、receipt_item_detailとは役割が分かれます。,sample_row=5,3,jdata_syubetsu,string,true,Jデータ種別候補,Retail24,
ods_tbl_receipt_customer_detail,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_tbl_receipt_customer_detail/pt_date_key=20231028/,20231028,成功,Parquet,pt_date_key=20231028,82,83,943255,レシートに紐づく支払、顧客、会員、バーコード、クーポン利用情報を保持する顧客・支払明細系データと想定されます。商品コードや売上金額の商品明細項目は持たず、receipt_item_detailとは役割が分かれます。,sample_row=5,4,multi_proc_no,string,true,マルチ処理番号候補,1,
ods_tbl_receipt_customer_detail,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_tbl_receipt_customer_detail/pt_date_key=20231028/,20231028,成功,Parquet,pt_date_key=20231028,82,83,943255,レシートに紐づく支払、顧客、会員、バーコード、クーポン利用情報を保持する顧客・支払明細系データと想定されます。商品コードや売上金額の商品明細項目は持たず、receipt_item_detailとは役割が分かれます。,sample_row=5,5,partition_key,string,true,パーティションキー候補,20231028Retail24  01,
ods_tbl_receipt_customer_detail,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_tbl_receipt_customer_detail/pt_date_key=20231028/,20231028,成功,Parquet,pt_date_key=20231028,82,83,943255,レシートに紐づく支払、顧客、会員、バーコード、クーポン利用情報を保持する顧客・支払明細系データと想定されます。商品コードや売上金額の商品明細項目は持たず、receipt_item_detailとは役割が分かれます。,sample_row=5,6,store_code,string,true,店舗コード,0000045740,レシートJOINキー候補の一部。
ods_tbl_receipt_customer_detail,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_tbl_receipt_customer_detail/pt_date_key=20231028/,20231028,成功,Parquet,pt_date_key=20231028,82,83,943255,レシートに紐づく支払、顧客、会員、バーコード、クーポン利用情報を保持する顧客・支払明細系データと想定されます。商品コードや売上金額の商品明細項目は持たず、receipt_item_detailとは役割が分かれます。,sample_row=5,7,torihiki_ymd,string,true,取引日,20231028,レシートJOINキー候補の一部。
ods_tbl_receipt_customer_detail,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_tbl_receipt_customer_detail/pt_date_key=20231028/,20231028,成功,Parquet,pt_date_key=20231028,82,83,943255,レシートに紐づく支払、顧客、会員、バーコード、クーポン利用情報を保持する顧客・支払明細系データと想定されます。商品コードや売上金額の商品明細項目は持たず、receipt_item_detailとは役割が分かれます。,sample_row=5,8,torihiki_tm,string,true,取引時刻,002000,レシートJOINキー候補の一部。
ods_tbl_receipt_customer_detail,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_tbl_receipt_customer_detail/pt_date_key=20231028/,20231028,成功,Parquet,pt_date_key=20231028,82,83,943255,レシートに紐づく支払、顧客、会員、バーコード、クーポン利用情報を保持する顧客・支払明細系データと想定されます。商品コードや売上金額の商品明細項目は持たず、receipt_item_detailとは役割が分かれます。,sample_row=5,9,register_no,string,true,レジ番号,0176,レシートJOINキー候補の一部。
ods_tbl_receipt_customer_detail,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_tbl_receipt_customer_detail/pt_date_key=20231028/,20231028,成功,Parquet,pt_date_key=20231028,82,83,943255,レシートに紐づく支払、顧客、会員、バーコード、クーポン利用情報を保持する顧客・支払明細系データと想定されます。商品コードや売上金額の商品明細項目は持たず、receipt_item_detailとは役割が分かれます。,sample_row=5,10,receipt_no,string,true,レシート番号,3566,レシートJOINキー候補の一部。
