テーブル名,パス,対象pt_date_key,読み込み結果,確認できたファイル形式,パーティション,元カラム数,pt_date_key付与後カラム数,代表パーティション件数,想定概要,サンプル参照行,カラムNo,カラム名,データ型,NULL許容,確認できる意味・役割,サンプル値,備考
ods_tbl_receipt_item_detail,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_tbl_receipt_item_detail/pt_date_key=20231028/,20231028,成功,Parquet,pt_date_key=20231028,80,81,3486856,レシートの商品明細単位データと想定されます。商品コード、商品名、数量、売上金額、税込・税抜金額、値引・割引、クーポン番号、クーポンテンプレートIDなどを保持します。,sample_row=1,1,sousin_ymd,string,true,送信年月日候補,2023-10-28 10:00:00,
ods_tbl_receipt_item_detail,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_tbl_receipt_item_detail/pt_date_key=20231028/,20231028,成功,Parquet,pt_date_key=20231028,80,81,3486856,レシートの商品明細単位データと想定されます。商品コード、商品名、数量、売上金額、税込・税抜金額、値引・割引、クーポン番号、クーポンテンプレートIDなどを保持します。,sample_row=1,2,sousin_no,string,true,送信番号候補,0,
ods_tbl_receipt_item_detail,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_tbl_receipt_item_detail/pt_date_key=20231028/,20231028,成功,Parquet,pt_date_key=20231028,80,81,3486856,レシートの商品明細単位データと想定されます。商品コード、商品名、数量、売上金額、税込・税抜金額、値引・割引、クーポン番号、クーポンテンプレートIDなどを保持します。,sample_row=1,3,jdata_syubetsu,string,true,Jデータ種別候補,Retail02,
ods_tbl_receipt_item_detail,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_tbl_receipt_item_detail/pt_date_key=20231028/,20231028,成功,Parquet,pt_date_key=20231028,80,81,3486856,レシートの商品明細単位データと想定されます。商品コード、商品名、数量、売上金額、税込・税抜金額、値引・割引、クーポン番号、クーポンテンプレートIDなどを保持します。,sample_row=1,4,multi_proc_no,string,true,マルチ処理番号候補,1,
ods_tbl_receipt_item_detail,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_tbl_receipt_item_detail/pt_date_key=20231028/,20231028,成功,Parquet,pt_date_key=20231028,80,81,3486856,レシートの商品明細単位データと想定されます。商品コード、商品名、数量、売上金額、税込・税抜金額、値引・割引、クーポン番号、クーポンテンプレートIDなどを保持します。,sample_row=1,5,partition_key,string,true,パーティションキー候補,20231028Retail02  01,
ods_tbl_receipt_item_detail,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_tbl_receipt_item_detail/pt_date_key=20231028/,20231028,成功,Parquet,pt_date_key=20231028,80,81,3486856,レシートの商品明細単位データと想定されます。商品コード、商品名、数量、売上金額、税込・税抜金額、値引・割引、クーポン番号、クーポンテンプレートIDなどを保持します。,sample_row=1,6,store_code,string,true,店舗コード,0000064370,レシートJOINキー候補の一部。
ods_tbl_receipt_item_detail,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_tbl_receipt_item_detail/pt_date_key=20231028/,20231028,成功,Parquet,pt_date_key=20231028,80,81,3486856,レシートの商品明細単位データと想定されます。商品コード、商品名、数量、売上金額、税込・税抜金額、値引・割引、クーポン番号、クーポンテンプレートIDなどを保持します。,sample_row=1,7,torihiki_ymd,string,true,取引日,20231028,レシートJOINキー候補の一部。
ods_tbl_receipt_item_detail,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_tbl_receipt_item_detail/pt_date_key=20231028/,20231028,成功,Parquet,pt_date_key=20231028,80,81,3486856,レシートの商品明細単位データと想定されます。商品コード、商品名、数量、売上金額、税込・税抜金額、値引・割引、クーポン番号、クーポンテンプレートIDなどを保持します。,sample_row=1,8,torihiki_tm,string,true,取引時刻,094200,レシートJOINキー候補の一部。
ods_tbl_receipt_item_detail,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_tbl_receipt_item_detail/pt_date_key=20231028/,20231028,成功,Parquet,pt_date_key=20231028,80,81,3486856,レシートの商品明細単位データと想定されます。商品コード、商品名、数量、売上金額、税込・税抜金額、値引・割引、クーポン番号、クーポンテンプレートIDなどを保持します。,sample_row=1,9,register_no,string,true,レジ番号,0131,レシートJOINキー候補の一部。
ods_tbl_receipt_item_detail,dbfs:/Volumes/cdp_bi_poc/dmc/volume/ods.db/ods_tbl_receipt_item_detail/pt_date_key=20231028/,20231028,成功,Parquet,pt_date_key=20231028,80,81,3486856,レシートの商品明細単位データと想定されます。商品コード、商品名、数量、売上金額、税込・税抜金額、値引・割引、クーポン番号、クーポンテンプレートIDなどを保持します。,sample_row=1,10,receipt_no,string,true,レシート番号,6163,レシートJOINキー候補の一部。
